age,weight_kg,height_cm,bmi,gender,activity_level,goal,diet_type,health_conditions,diet_plan_focus,foods_to_eat,foods_to_avoid,bmi_category,age_group,estimated_daily_calories,calorie_target,daily_protein_g,daily_water_L,meal_frequency
25,70,175,22.9,male,moderate,weight_loss,vegetarian,none,High-protein plant foods + calorie deficit,"Lentils, paneer, tofu, vegetables, whole grains, fruits","Sugary drinks, fried snacks, white rice, sweets",Normal,18-25,2594,2194,140.0,2.3,3 main meals + 1-2 snacks
30,80,180,24.7,female,high,muscle_gain,non-vegetarian,diabetes,Lean protein + complex carbs + blood sugar control,"Chicken, eggs, brown rice, oats, green vegetables, dals","White bread, sugary drinks, deep-fried foods, sweets",Normal,26-35,2784,3084,144.0,2.6,4-6 meals/snacks daily
35,65,165,23.9,male,low,maintain,vegetarian,hypertension,Low-sodium balanced diet + potassium-rich foods,"Bananas, spinach, dal, roti, low-fat milk, oats, fruits","Salt-heavy snacks, pickles, processed foods, canned items",Normal,26-35,1814,1814,91.0,2.1,3 main meals + 1 snack
28,75,170,25.9,female,moderate,weight_loss,vegan,none,Plant-based proteins + whole foods + healthy fats,"Chickpeas, lentils, tofu, tempeh, quinoa, veggies, seeds","Refined flour, vegan junk food, added sugars, oils",Overweight,26-35,2343,1943,150.0,2.5,3 main meals + 1-2 snacks
40,85,175,27.8,male,high,muscle_gain,non-vegetarian,none,High-calorie high-protein diet + heavy strength training,"Chicken breast, beef, eggs, milk, sweet potato, rice, oats","Alcohol, trans fats, fast food, excessive sugar",Overweight,36-45,3017,3317,153.0,2.8,4-6 meals/snacks daily
22,60,160,23.4,female,low,maintain,vegetarian,thyroid,Iodine-rich foods + balanced macros + avoid goitrogens,"Iodized salt, seafood (if non-veg), yogurt, eggs, nuts","Raw cruciferous vegetables (excess), soy (excess), processed foods",Normal,18-25,1595,1595,84.0,2.0,3 main meals + 1 snack
45,90,180,27.8,male,moderate,weight_loss,non-vegetarian,cholesterol,Low-fat high-fiber diet + omega-3 sources,"Oats, fish, fruits, vegetables, legumes, olive oil, nuts","Red meat, full-fat dairy, fried foods, butter, egg yolks",Overweight,36-45,2798,2398,180.0,3.0,3 main meals + 1-2 snacks
32,68,168,24.1,female,high,muscle_gain,vegetarian,none,Protein-rich vegetarian + calorie surplus,"Paneer, Greek yogurt, lentils, chickpeas, nuts, seeds, whole grains","Empty calories, excessive fat, junk food, sugar",Normal,26-35,2431,2731,122.4,2.2,4-6 meals/snacks daily
38,72,172,24.3,male,low,maintain,vegan,none,Complete vegan diet with B12 supplementation,"Legumes, grains, fortified soy milk, nutritional yeast, seeds","Processed vegan foods, refined carbs, excess sugar",Normal,36-45,1932,1932,100.8,2.4,3 main meals + 1 snack
26,78,178,24.6,female,moderate,weight_loss,non-vegetarian,pcos,Low-glycemic anti-inflammatory diet + hormone balance,"Salmon, chicken, vegetables, berries, chia seeds, oats","Refined carbs, dairy (if sensitive), sugary drinks, red meat",Normal,26-35,2482,2082,156.0,2.6,3 main meals + 1-2 snacks
19,55,162,20.9,female,moderate,weight_gain,vegetarian,none,Calorie-dense nutritious foods + frequent meals,"Nuts, nut butters, avocado, full-fat dairy, bananas, roti with ghee","Junk food, soda, empty calories",Normal,18-25,2025,2325,99.0,1.8,4-6 meals/snacks daily
50,88,173,29.4,male,low,weight_loss,non-vegetarian,diabetes,Diabetic-friendly calorie-restricted plan,"Bitter gourd, methi, fish, eggs, green vegetables, whole grains","White rice, maida, sweets, fried foods, potatoes",Overweight,46-55,2060,1660,176.0,2.9,3 main meals + 1-2 snacks
33,63,163,23.7,female,high,maintain,non-vegetarian,none,Performance diet with balanced macros,"Chicken, brown rice, sweet potato, vegetables, fruits, protein shakes","Junk food, alcohol, excessive fat",Normal,26-35,2282,2282,88.2,2.1,3 main meals + 1 snack
42,76,170,26.3,male,moderate,weight_loss,vegetarian,hypertension,DASH-style vegetarian diet,"Fruits, vegetables, whole grains, low-fat dairy, nuts, seeds, legumes","Salt, pickles, processed foods, red meat alternatives high in sodium",Overweight,36-45,2507,2107,152.0,2.5,3 main meals + 1-2 snacks
27,82,183,24.5,male,very_high,muscle_gain,non-vegetarian,none,High-calorie high-protein athlete diet,"Beef, chicken, fish, eggs, milk, oats, sweet potato, brown rice","Alcohol, junk food, excess fats, processed snacks",Normal,26-35,3484,3784,147.6,2.7,4-6 meals/snacks daily
36,58,157,23.5,female,low,weight_gain,vegan,none,Calorie-dense vegan foods + protein focus,"Peanut butter, almonds, avocado, full-fat coconut milk, soy protein","Diet sodas, vegan chips, low-nutrient foods",Normal,36-45,1464,1764,104.4,1.9,4-6 meals/snacks daily
48,95,177,30.3,male,low,weight_loss,non-vegetarian,cholesterol,Heart-healthy calorie deficit plan,"Salmon, sardines, oats, apples, vegetables, olive oil, legumes","Butter, ghee, full-fat cheese, red meat, fried food",Obese,46-55,2186,1786,190.0,3.1,3 main meals + 1-2 snacks
23,65,170,22.5,male,high,muscle_gain,vegetarian,none,Vegetarian bodybuilding with protein tracking,"Whey protein (if acceptable), paneer, eggs, dal, soy chunks, seeds","Junk food, excessive sweets, alcohol",Normal,18-25,2764,3064,117.0,2.1,4-6 meals/snacks daily
31,70,165,25.7,female,moderate,weight_loss,non-vegetarian,thyroid,Thyroid-supportive weight loss diet,"Iodine-rich foods, selenium-rich nuts, lean protein, fiber-rich veggies","Raw kale, raw spinach (excess), soy, processed foods",Overweight,26-35,2194,1794,140.0,2.3,3 main meals + 1-2 snacks
55,80,168,28.3,male,low,maintain,vegetarian,diabetes,Diabetic-vegetarian maintenance diet,"Methi seeds, karela, whole wheat roti, vegetables, low-fat dahi","Sugary fruits (mango, banana excess), rice (large portions), sweets",Overweight,46-55,1896,1896,112.0,2.6,3 main meals + 1 snack
20,52,158,20.8,female,moderate,maintain,vegan,none,Balanced plant-based diet for young adult,"Mixed vegetables, legumes, whole grains, fruits, plant milk","Ultra-processed vegan foods, excessive sugar",Normal,18-25,1932,1932,72.8,1.7,3 main meals + 1 snack
44,74,171,25.3,female,moderate,weight_loss,vegetarian,pcos,PCOS-friendly low-GI vegetarian plan,"Quinoa, lentils, spinach, broccoli, berries, flax seeds, Greek yogurt","White bread, pasta, sweets, dairy (if intolerant), caffeine",Overweight,36-45,2213,1813,148.0,2.4,3 main meals + 1-2 snacks
29,73,174,24.1,male,high,maintain,non-vegetarian,none,Athletic maintenance with performance focus,"Lean meats, whole grains, vegetables, fruits, dairy, nuts","Junk food, alcohol, excessive sugar",Normal,26-35,2894,2894,102.2,2.4,3 main meals + 1 snack
37,69,166,25.0,female,moderate,weight_loss,non-vegetarian,anemia,Iron-rich weight loss diet,"Liver, spinach, lentils, beets, pomegranate, lean meat, fortified cereals","Tea/coffee with meals, calcium supplements at same time, junk food",Overweight,36-45,2141,1741,138.0,2.3,3 main meals + 1-2 snacks
41,83,176,26.8,male,moderate,weight_loss,non-vegetarian,heart_disease,Cardiac-friendly weight loss plan,"Oats, fish, olive oil, nuts, leafy greens, whole grains, legumes","Trans fats, red meat, full-fat dairy, salt, alcohol",Overweight,36-45,2682,2282,166.0,2.7,3 main meals + 1-2 snacks
18,56,165,20.6,male,moderate,weight_gain,non-vegetarian,none,Healthy mass gain for teenager,"Milk, eggs, chicken, rice, potatoes, bananas, peanut butter","Junk food, fast food, soda, alcohol",Normal,18-25,2335,2635,100.8,1.8,4-6 meals/snacks daily
52,71,160,27.7,female,low,weight_loss,vegetarian,osteoporosis,Bone-healthy weight loss diet,"Low-fat dairy, leafy greens, soy, nuts, seeds, fruits","Caffeine (excess), alcohol, salty foods, soda",Overweight,46-55,1547,1147,142.0,2.3,3 main meals + 1-2 snacks
34,67,169,23.5,male,high,muscle_gain,non-vegetarian,none,Strength-training muscle gain diet,"Chicken breast, eggs, tuna, brown rice, oats, vegetables, protein shake","Alcohol, fast food, excessive fats, empty calories",Normal,26-35,2693,2993,120.6,2.2,4-6 meals/snacks daily
46,78,162,29.7,female,low,weight_loss,vegetarian,cholesterol,Cholesterol-lowering vegetarian diet,"Oats, nuts, olive oil, legumes, soy foods, fruits, vegetables","Trans fats, butter, ghee, fried foods, full-fat paneer",Overweight,46-55,1682,1282,156.0,2.6,3 main meals + 1-2 snacks
24,61,168,21.6,female,high,maintain,non-vegetarian,none,Active lifestyle maintenance diet,"Lean protein, complex carbs, vegetables, fruits, dairy","Junk food, excessive fats, alcohol, soda",Normal,18-25,2379,2379,85.4,2.0,3 main meals + 1 snack
60,70,165,25.7,male,low,maintain,vegetarian,diabetes,Senior diabetic balanced plan,"Whole grains, low-GI vegetables, legumes, low-fat dairy, seeds","Sugary foods, white rice (large), high-GI fruits, fried foods",Overweight,55+,1724,1724,98.0,2.3,3 main meals + 1 snack
25,90,170,31.1,female,low,weight_loss,non-vegetarian,none,Calorie-restricted plan for obesity,"Lean protein, non-starchy vegetables, fruits, water, green tea","Fried food, fast food, sweets, alcohol, soda, chips",Obese,18-25,2012,1612,180.0,3.0,3 main meals + 1-2 snacks
38,74,175,24.2,male,high,maintain,vegan,none,Athletic vegan maintenance,"Soy protein, quinoa, legumes, nuts, seeds, whole grains, vegetables","Processed vegan snacks, refined carbs, sugar",Normal,36-45,2844,2844,103.6,2.4,3 main meals + 1 snack
43,66,162,25.1,female,moderate,weight_loss,vegetarian,anemia,Iron-focused vegetarian weight loss,"Spinach, lentils, tofu, beets, fortified cereals, citrus fruits","Tea with meals, calcium supplements timing, fried foods",Overweight,36-45,2010,1610,132.0,2.2,3 main meals + 1-2 snacks
29,88,180,27.2,male,high,muscle_gain,non-vegetarian,none,Bulking phase diet for strength athlete,"Beef, chicken, eggs, whole milk, sweet potato, oats, rice","Alcohol, empty calories, excess fat, junk food",Overweight,26-35,3217,3517,158.4,2.9,4-6 meals/snacks daily
53,72,163,27.1,female,low,weight_loss,non-vegetarian,hypertension,Low-sodium calorie-reduced plan,"Potassium-rich fruits, fish, chicken, vegetables, whole grains","Salty foods, processed meats, canned soups, pickles, soda",Overweight,46-55,1575,1175,144.0,2.4,3 main meals + 1-2 snacks
21,60,175,19.6,male,moderate,weight_gain,vegetarian,none,Healthy bulking for underweight young male,"Nuts, nut butters, full-fat dairy, bananas, rice, roti with ghee, eggs","Diet foods, low-calorie foods, excessive cardio compensation",Normal,18-25,2470,2770,108.0,2.0,4-6 meals/snacks daily
40,76,168,26.9,female,moderate,maintain,non-vegetarian,thyroid,Hypothyroid maintenance diet,"Selenium-rich fish, eggs, iodized salt, yogurt, fruits, vegetables","Goitrogens in excess, soy products (excess), processed foods",Overweight,36-45,2246,2246,106.4,2.5,3 main meals + 1 snack
32,78,178,24.6,male,high,weight_loss,non-vegetarian,none,Athletic cutting phase,"Chicken, fish, egg whites, vegetables, moderate complex carbs, berries","High-calorie snacks, alcohol, sugary foods, excess fat",Normal,26-35,2997,2597,156.0,2.6,3 main meals + 1-2 snacks
47,82,170,28.4,male,moderate,weight_loss,non-vegetarian,diabetes,Diabetic-friendly calorie-deficit plan,"Bitter gourd, fish, eggs, cruciferous vegetables, whole grains","White rice, bread, sweets, fruit juice, processed foods",Overweight,46-55,2561,2161,164.0,2.7,3 main meals + 1-2 snacks
35,55,158,22.0,female,moderate,maintain,vegan,pcos,Anti-inflammatory vegan PCOS management,"Berries, flax seeds, chia, quinoa, lentils, green vegetables, turmeric","Refined sugars, processed foods, high-GI foods, caffeine",Normal,26-35,1862,1862,77.0,1.8,3 main meals + 1 snack
28,65,172,22.0,male,moderate,muscle_gain,vegetarian,none,Vegetarian lean bulk plan,"Greek yogurt, paneer, soy milk, eggs, dal, chickpeas, oats, seeds","Junk food, alcohol, excessive sugars, empty calories",Normal,26-35,2464,2764,117.0,2.1,4-6 meals/snacks daily
56,88,175,28.7,male,low,weight_loss,non-vegetarian,heart_disease,Cardiac-friendly men's weight loss,"Salmon, oats, spinach, garlic, olive oil, legumes, fruits","Trans fats, red meat, butter, salt, alcohol, coconut oil",Overweight,55+,2038,1638,176.0,2.9,3 main meals + 1-2 snacks
30,58,163,21.8,female,high,muscle_gain,non-vegetarian,none,Women's strength-building diet,"Chicken, eggs, Greek yogurt, sweet potato, vegetables, berries, rice","Junk food, alcohol, refined carbs, excessive fats",Normal,26-35,2221,2521,104.4,1.9,4-6 meals/snacks daily
48,75,167,26.9,female,moderate,weight_loss,vegetarian,cholesterol,Post-menopausal vegetarian weight loss,"Oats, soy, flax seeds, nuts, leafy greens, whole grains, low-fat dairy","Saturated fats, full-fat dairy, fried foods, baked goods",Overweight,46-55,2159,1759,150.0,2.5,3 main meals + 1-2 snacks
22,72,178,22.7,male,very_high,maintain,non-vegetarian,none,Endurance athlete maintenance,"Pasta, rice, bread, lean protein, fruits, vegetables, sports drinks","Alcohol, excessive fats, very high fiber pre-race",Normal,18-25,3282,3282,100.8,2.4,3 main meals + 1 snack
37,64,165,23.5,female,moderate,weight_loss,non-vegetarian,none,Balanced non-vegetarian weight loss,"Grilled fish, chicken, eggs, vegetables, whole grains, fruits, dal","Fried foods, sweets, soda, white bread, excessive oil",Normal,36-45,2054,1654,128.0,2.1,3 main meals + 1-2 snacks
45,80,172,27.1,male,low,maintain,vegetarian,none,Sedentary vegetarian maintenance,"Mixed dal, vegetables, roti, rice in moderation, fruits, low-fat milk","Junk food, excessive ghee, sweets, alcohol, soda",Overweight,36-45,1986,1986,112.0,2.6,3 main meals + 1 snack
33,69,170,23.9,female,moderate,weight_loss,non-vegetarian,anemia,Iron-rich fat loss diet for women,"Red meat (lean), liver, spinach, lentils, vitamin C rich fruits","Tea/coffee with iron-rich meals, calcium timing, junk food",Normal,26-35,2211,1811,138.0,2.3,3 main meals + 1-2 snacks
27,75,176,24.2,male,high,maintain,non-vegetarian,none,Young active male maintenance,"Chicken, eggs, brown rice, roti, vegetables, fruits, milk, nuts","Alcohol, fast food, excessive sugar",Normal,26-35,2967,2967,105.0,2.5,3 main meals + 1 snack
62,68,163,25.6,female,low,maintain,vegetarian,osteoporosis,Bone health senior vegetarian plan,"Low-fat milk, paneer, yogurt, spinach, sesame seeds, ragi, soy","Caffeine, alcohol, salty foods, soda, excess protein",Overweight,55+,1473,1473,95.2,2.2,3 main meals + 1 snack
19,48,155,20.0,female,low,weight_gain,non-vegetarian,none,Healthy weight gain for underweight teen girl,"Milk, eggs, chicken, nut butters, bananas, potatoes, avocado, ghee","Unhealthy junk, soda, excessive processed foods",Normal,18-25,1431,1731,86.4,1.6,4-6 meals/snacks daily
42,79,171,27.0,male,moderate,weight_loss,non-vegetarian,gout,Low-purine calorie-deficit plan,"Cherries, low-fat dairy, eggs, complex carbs, water (3L+), veggies","Red meat, organ meats, shellfish, alcohol, sugary drinks",Overweight,36-45,2563,2163,158.0,2.6,3 main meals + 1-2 snacks
31,57,160,22.3,female,high,maintain,vegan,none,Active vegan woman maintenance plan,"Protein smoothies, legumes, quinoa, seeds, whole grains, vegetables","Processed vegan foods, refined carbs, excessive sugar",Normal,26-35,2163,2163,79.8,1.9,3 main meals + 1 snack
50,85,174,28.1,male,moderate,weight_loss,non-vegetarian,cholesterol,Middle-aged cholesterol management weight loss,"Oats, fatty fish, nuts, olive oil, garlic, whole grains, legumes","Butter, full-fat dairy, red meat, fried food, trans fats",Overweight,46-55,2623,2223,170.0,2.8,3 main meals + 1-2 snacks
36,62,165,22.8,female,moderate,maintain,vegetarian,none,Balanced vegetarian working woman plan,"Dal, roti, vegetables, fruits, low-fat milk, nuts, salads","Junk food, excessive tea/coffee, refined carbs",Normal,36-45,2031,2031,86.8,2.0,3 main meals + 1 snack
24,83,182,25.1,male,very_high,muscle_gain,non-vegetarian,none,Powerlifter bulking diet,"Red meat, chicken, eggs, whole milk, oats, rice, potatoes","Alcohol, junk food, very low carb, excessive fats",Overweight,18-25,3520,3820,149.4,2.7,4-6 meals/snacks daily
40,68,163,25.6,female,low,weight_loss,non-vegetarian,thyroid,Hypothyroid-friendly fat loss plan,"Fish (iodine-rich), eggs, selenium foods (Brazil nuts), fiber veggies","Excessive soy, raw cruciferous, goitrogens, processed foods",Overweight,36-45,1605,1205,136.0,2.2,3 main meals + 1-2 snacks
