Condition,Food Item,Recommendation Type,Calories,Protein (g),Fat (g),Carbs (g),Fiber (g),Vitamin C (mg),Calcium (mg),reason,condition_aliases,protein_pct,carb_pct,fat_pct
Influenza,Candy,Avoid,400,0.0,5.0,93.0,0.0,0.0,5.0,"Concerns: high calorie, high refined carbs, no fiber",influenza,0.0,93.0,11.2
Influenza,Candy,Avoid,400,0.0,5.0,93.0,0.0,0.0,5.0,"Concerns: high calorie, high refined carbs, no fiber",influenza,0.0,93.0,11.2
Pneumonia,Greek Yogurt,Consume,59,10.2,0.4,3.6,0.0,0.5,111.0,"Benefits: good protein, low calorie, calcium source",pneumonia,69.2,24.4,6.1
Pneumonia,Apple,Consume,52,0.3,0.2,14.0,2.4,4.6,6.0,Benefits: low calorie,pneumonia,2.3,107.7,3.5
Pneumonia,Green Tea,Consume,2,0.2,0.0,0.5,0.0,0.0,1.0,Benefits: low calorie,pneumonia,40.0,100.0,0.0
Pneumonia,Salmon,Consume,208,20.0,13.0,0.0,0.0,3.0,13.0,Benefits: good protein,pneumonia,38.5,0.0,56.2
Pneumonia,Beans,Consume,127,8.7,0.5,22.8,6.4,1.2,50.0,"Benefits: high fiber, good protein",pneumonia,27.4,71.8,3.5
Pneumonia,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat",pneumonia,5.0,54.2,41.2
Pneumonia,Butter,Avoid,717,0.9,81.1,0.1,0.0,0.0,24.0,"Concerns: high calorie, high fat, no fiber",pneumonia,0.5,0.1,101.8
Pneumonia,Refined Flour Products,Avoid,364,10.0,1.0,76.0,2.7,0.0,15.0,Concerns: high calorie,pneumonia,11.0,83.5,2.5
Pneumonia,Fried Food,Avoid,450,5.0,30.0,40.0,1.0,0.0,10.0,"Concerns: high calorie, high fat",pneumonia,4.4,35.6,60.0
Pneumonia,Sugary Drinks,Avoid,45,0.0,0.0,11.0,0.0,0.0,0.0,Concerns: no fiber,pneumonia,0.0,97.8,0.0
Tuberculosis,Greek Yogurt,Consume,59,10.2,0.4,3.6,0.0,0.5,111.0,"Benefits: good protein, low calorie, calcium source",tuberculosis,69.2,24.4,6.1
Tuberculosis,Oats,Consume,389,16.9,6.9,66.3,10.6,0.0,54.0,"Benefits: high fiber, good protein",tuberculosis,17.4,68.2,16.0
Tuberculosis,Green Tea,Consume,2,0.2,0.0,0.5,0.0,0.0,1.0,Benefits: low calorie,tuberculosis,40.0,100.0,0.0
Tuberculosis,Salmon,Consume,208,20.0,13.0,0.0,0.0,3.0,13.0,Benefits: good protein,tuberculosis,38.5,0.0,56.2
Tuberculosis,Chia Seeds,Consume,486,16.5,30.7,42.1,34.4,1.6,631.0,"Benefits: high fiber, good protein, calcium source",tuberculosis,13.6,34.7,56.9
Tuberculosis,Red Meat,Avoid,250,26.0,15.0,0.0,0.0,0.0,18.0,Concerns: no fiber,tuberculosis,41.6,0.0,54.0
Tuberculosis,Butter,Avoid,717,0.9,81.1,0.1,0.0,0.0,24.0,"Concerns: high calorie, high fat, no fiber",tuberculosis,0.5,0.1,101.8
Tuberculosis,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat",tuberculosis,5.0,54.2,41.2
Tuberculosis,Processed Meat,Avoid,290,14.0,25.0,3.0,0.0,0.0,10.0,"Concerns: high fat, no fiber",tuberculosis,19.3,4.1,77.6
Tuberculosis,Refined Flour Products,Avoid,364,10.0,1.0,76.0,2.7,0.0,15.0,Concerns: high calorie,tuberculosis,11.0,83.5,2.5
HIV/AIDS,Tomatoes,Consume,18,0.9,0.2,3.9,1.2,14.0,10.0,"Benefits: low calorie, rich in vitamin C",hiv/aids,20.0,86.7,10.0
HIV/AIDS,Walnuts,Consume,654,15.2,65.2,13.7,6.7,1.3,98.0,"Benefits: high fiber, good protein",hiv/aids,9.3,8.4,89.7
HIV/AIDS,Carrots,Consume,41,0.9,0.2,9.6,2.8,5.9,33.0,Benefits: low calorie,hiv/aids,8.8,93.7,4.4
HIV/AIDS,Blueberries,Consume,57,0.7,0.3,14.5,2.4,9.7,6.0,Benefits: low calorie,hiv/aids,4.9,101.8,4.7
HIV/AIDS,Apple,Consume,52,0.3,0.2,14.0,2.4,4.6,6.0,Benefits: low calorie,hiv/aids,2.3,107.7,3.5
HIV/AIDS,Candy,Avoid,400,0.0,5.0,93.0,0.0,0.0,5.0,"Concerns: high calorie, high refined carbs, no fiber",hiv/aids,0.0,93.0,11.2
HIV/AIDS,Candy,Avoid,400,0.0,5.0,93.0,0.0,0.0,5.0,"Concerns: high calorie, high refined carbs, no fiber",hiv/aids,0.0,93.0,11.2
HIV/AIDS,Full-fat Cheese,Avoid,402,25.0,33.0,1.3,0.0,0.0,721.0,"Concerns: high calorie, high fat, no fiber",hiv/aids,24.9,1.3,73.9
HIV/AIDS,Red Meat,Avoid,250,26.0,15.0,0.0,0.0,0.0,18.0,Concerns: no fiber,hiv/aids,41.6,0.0,54.0
HIV/AIDS,Chips,Avoid,536,7.0,35.0,53.0,5.0,0.0,20.0,"Concerns: high calorie, high fat",hiv/aids,5.2,39.6,58.8
Malaria,Beans,Consume,127,8.7,0.5,22.8,6.4,1.2,50.0,"Benefits: high fiber, good protein",malaria,27.4,71.8,3.5
Malaria,Broccoli,Consume,34,2.8,0.4,7.0,2.6,89.2,47.0,"Benefits: low calorie, rich in vitamin C",malaria,32.9,82.4,10.6
Malaria,Garlic,Consume,149,6.4,0.5,33.1,2.1,31.2,181.0,"Benefits: good protein, rich in vitamin C, calcium source",malaria,17.2,88.9,3.0
Malaria,Blueberries,Consume,57,0.7,0.3,14.5,2.4,9.7,6.0,Benefits: low calorie,malaria,4.9,101.8,4.7
Malaria,Brown Rice,Consume,112,2.6,0.9,23.5,1.8,0.0,10.0,Benefits: nutritional support,malaria,9.3,83.9,7.2
Malaria,Pastries,Avoid,406,6.0,21.0,51.0,1.5,0.0,20.0,"Concerns: high calorie, high fat, high refined carbs",malaria,5.9,50.2,46.6
Malaria,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat",malaria,5.0,54.2,41.2
Malaria,Full-fat Cheese,Avoid,402,25.0,33.0,1.3,0.0,0.0,721.0,"Concerns: high calorie, high fat, no fiber",malaria,24.9,1.3,73.9
Malaria,Alcohol,Avoid,220,0.0,0.0,20.0,0.0,0.0,0.0,Concerns: no fiber,malaria,0.0,36.4,0.0
Malaria,Full-fat Cheese,Avoid,402,25.0,33.0,1.3,0.0,0.0,721.0,"Concerns: high calorie, high fat, no fiber",malaria,24.9,1.3,73.9
Dengue,Green Tea,Consume,2,0.2,0.0,0.5,0.0,0.0,1.0,Benefits: low calorie,dengue,40.0,100.0,0.0
Dengue,Almonds,Consume,579,21.2,49.9,21.6,12.5,0.0,264.0,"Benefits: high fiber, good protein, calcium source",dengue,14.6,14.9,77.6
Dengue,Garlic,Consume,149,6.4,0.5,33.1,2.1,31.2,181.0,"Benefits: good protein, rich in vitamin C, calcium source",dengue,17.2,88.9,3.0
Dengue,Salmon,Consume,208,20.0,13.0,0.0,0.0,3.0,13.0,Benefits: good protein,dengue,38.5,0.0,56.2
Dengue,Salmon,Consume,208,20.0,13.0,0.0,0.0,3.0,13.0,Benefits: good protein,dengue,38.5,0.0,56.2
Dengue,Pastries,Avoid,406,6.0,21.0,51.0,1.5,0.0,20.0,"Concerns: high calorie, high fat, high refined carbs",dengue,5.9,50.2,46.6
Dengue,Ice Cream,Avoid,207,3.5,11.0,24.0,0.5,0.5,128.0,Concerns: not recommended for this condition,dengue,6.8,46.4,47.8
Dengue,Alcohol,Avoid,220,0.0,0.0,20.0,0.0,0.0,0.0,Concerns: no fiber,dengue,0.0,36.4,0.0
Dengue,Red Meat,Avoid,250,26.0,15.0,0.0,0.0,0.0,18.0,Concerns: no fiber,dengue,41.6,0.0,54.0
Dengue,Red Meat,Avoid,250,26.0,15.0,0.0,0.0,0.0,18.0,Concerns: no fiber,dengue,41.6,0.0,54.0
Arthritis,Garlic,Consume,149,6.4,0.5,33.1,2.1,31.2,181.0,"Benefits: good protein, rich in vitamin C, calcium source",arthritis,17.2,88.9,3.0
Arthritis,Lentils,Consume,116,9.0,0.4,20.0,7.9,1.5,19.0,"Benefits: high fiber, good protein",arthritis,31.0,69.0,3.1
Arthritis,Chia Seeds,Consume,486,16.5,30.7,42.1,34.4,1.6,631.0,"Benefits: high fiber, good protein, calcium source",arthritis,13.6,34.7,56.9
Arthritis,Green Tea,Consume,2,0.2,0.0,0.5,0.0,0.0,1.0,Benefits: low calorie,arthritis,40.0,100.0,0.0
Arthritis,Beans,Consume,127,8.7,0.5,22.8,6.4,1.2,50.0,"Benefits: high fiber, good protein",arthritis,27.4,71.8,3.5
Arthritis,Refined Flour Products,Avoid,364,10.0,1.0,76.0,2.7,0.0,15.0,Concerns: high calorie,arthritis,11.0,83.5,2.5
Arthritis,Soda,Avoid,41,0.0,0.0,10.6,0.0,0.0,0.0,Concerns: no fiber,arthritis,0.0,103.4,0.0
Arthritis,Full-fat Cheese,Avoid,402,25.0,33.0,1.3,0.0,0.0,721.0,"Concerns: high calorie, high fat, no fiber",arthritis,24.9,1.3,73.9
Arthritis,Candy,Avoid,400,0.0,5.0,93.0,0.0,0.0,5.0,"Concerns: high calorie, high refined carbs, no fiber",arthritis,0.0,93.0,11.2
Arthritis,Full-fat Cheese,Avoid,402,25.0,33.0,1.3,0.0,0.0,721.0,"Concerns: high calorie, high fat, no fiber",arthritis,24.9,1.3,73.9
Psoriasis,Tomatoes,Consume,18,0.9,0.2,3.9,1.2,14.0,10.0,"Benefits: low calorie, rich in vitamin C",psoriasis,20.0,86.7,10.0
Psoriasis,Lentils,Consume,116,9.0,0.4,20.0,7.9,1.5,19.0,"Benefits: high fiber, good protein",psoriasis,31.0,69.0,3.1
Psoriasis,Tomatoes,Consume,18,0.9,0.2,3.9,1.2,14.0,10.0,"Benefits: low calorie, rich in vitamin C",psoriasis,20.0,86.7,10.0
Psoriasis,Salmon,Consume,208,20.0,13.0,0.0,0.0,3.0,13.0,Benefits: good protein,psoriasis,38.5,0.0,56.2
Psoriasis,Carrots,Consume,41,0.9,0.2,9.6,2.8,5.9,33.0,Benefits: low calorie,psoriasis,8.8,93.7,4.4
Psoriasis,Ice Cream,Avoid,207,3.5,11.0,24.0,0.5,0.5,128.0,Concerns: not recommended for this condition,psoriasis,6.8,46.4,47.8
Psoriasis,Red Meat,Avoid,250,26.0,15.0,0.0,0.0,0.0,18.0,Concerns: no fiber,psoriasis,41.6,0.0,54.0
Psoriasis,Ice Cream,Avoid,207,3.5,11.0,24.0,0.5,0.5,128.0,Concerns: not recommended for this condition,psoriasis,6.8,46.4,47.8
Psoriasis,Butter,Avoid,717,0.9,81.1,0.1,0.0,0.0,24.0,"Concerns: high calorie, high fat, no fiber",psoriasis,0.5,0.1,101.8
Psoriasis,Refined Flour Products,Avoid,364,10.0,1.0,76.0,2.7,0.0,15.0,Concerns: high calorie,psoriasis,11.0,83.5,2.5
IBS,Quinoa,Consume,120,4.4,1.9,21.3,2.8,0.0,17.0,Benefits: nutritional support,ibs,14.7,71.0,14.2
IBS,Tomatoes,Consume,18,0.9,0.2,3.9,1.2,14.0,10.0,"Benefits: low calorie, rich in vitamin C",ibs,20.0,86.7,10.0
IBS,Blueberries,Consume,57,0.7,0.3,14.5,2.4,9.7,6.0,Benefits: low calorie,ibs,4.9,101.8,4.7
IBS,Green Tea,Consume,2,0.2,0.0,0.5,0.0,0.0,1.0,Benefits: low calorie,ibs,40.0,100.0,0.0
IBS,Chia Seeds,Consume,486,16.5,30.7,42.1,34.4,1.6,631.0,"Benefits: high fiber, good protein, calcium source",ibs,13.6,34.7,56.9
IBS,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat",ibs,5.0,54.2,41.2
IBS,Alcohol,Avoid,220,0.0,0.0,20.0,0.0,0.0,0.0,Concerns: no fiber,ibs,0.0,36.4,0.0
IBS,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat",ibs,5.0,54.2,41.2
IBS,Soda,Avoid,41,0.0,0.0,10.6,0.0,0.0,0.0,Concerns: no fiber,ibs,0.0,103.4,0.0
IBS,Soda,Avoid,41,0.0,0.0,10.6,0.0,0.0,0.0,Concerns: no fiber,ibs,0.0,103.4,0.0
Ulcerative Colitis,Greek Yogurt,Consume,59,10.2,0.4,3.6,0.0,0.5,111.0,"Benefits: good protein, low calorie, calcium source",ulcerative colitis,69.2,24.4,6.1
Ulcerative Colitis,Tomatoes,Consume,18,0.9,0.2,3.9,1.2,14.0,10.0,"Benefits: low calorie, rich in vitamin C",ulcerative colitis,20.0,86.7,10.0
Ulcerative Colitis,Apple,Consume,52,0.3,0.2,14.0,2.4,4.6,6.0,Benefits: low calorie,ulcerative colitis,2.3,107.7,3.5
Ulcerative Colitis,Salmon,Consume,208,20.0,13.0,0.0,0.0,3.0,13.0,Benefits: good protein,ulcerative colitis,38.5,0.0,56.2
Ulcerative Colitis,Broccoli,Consume,34,2.8,0.4,7.0,2.6,89.2,47.0,"Benefits: low calorie, rich in vitamin C",ulcerative colitis,32.9,82.4,10.6
Ulcerative Colitis,Ice Cream,Avoid,207,3.5,11.0,24.0,0.5,0.5,128.0,Concerns: not recommended for this condition,ulcerative colitis,6.8,46.4,47.8
Ulcerative Colitis,Refined Flour Products,Avoid,364,10.0,1.0,76.0,2.7,0.0,15.0,Concerns: high calorie,ulcerative colitis,11.0,83.5,2.5
Ulcerative Colitis,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat",ulcerative colitis,5.0,54.2,41.2
Ulcerative Colitis,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat",ulcerative colitis,5.0,54.2,41.2
Ulcerative Colitis,Fried Food,Avoid,450,5.0,30.0,40.0,1.0,0.0,10.0,"Concerns: high calorie, high fat",ulcerative colitis,4.4,35.6,60.0
Crohn's Disease,Broccoli,Consume,34,2.8,0.4,7.0,2.6,89.2,47.0,"Benefits: low calorie, rich in vitamin C",crohn's disease,32.9,82.4,10.6
Crohn's Disease,Apple,Consume,52,0.3,0.2,14.0,2.4,4.6,6.0,Benefits: low calorie,crohn's disease,2.3,107.7,3.5
Crohn's Disease,Almonds,Consume,579,21.2,49.9,21.6,12.5,0.0,264.0,"Benefits: high fiber, good protein, calcium source",crohn's disease,14.6,14.9,77.6
Crohn's Disease,Almonds,Consume,579,21.2,49.9,21.6,12.5,0.0,264.0,"Benefits: high fiber, good protein, calcium source",crohn's disease,14.6,14.9,77.6
Crohn's Disease,Brown Rice,Consume,112,2.6,0.9,23.5,1.8,0.0,10.0,Benefits: nutritional support,crohn's disease,9.3,83.9,7.2
Crohn's Disease,Soda,Avoid,41,0.0,0.0,10.6,0.0,0.0,0.0,Concerns: no fiber,crohn's disease,0.0,103.4,0.0
Crohn's Disease,Chips,Avoid,536,7.0,35.0,53.0,5.0,0.0,20.0,"Concerns: high calorie, high fat",crohn's disease,5.2,39.6,58.8
Crohn's Disease,Fried Food,Avoid,450,5.0,30.0,40.0,1.0,0.0,10.0,"Concerns: high calorie, high fat",crohn's disease,4.4,35.6,60.0
Crohn's Disease,Red Meat,Avoid,250,26.0,15.0,0.0,0.0,0.0,18.0,Concerns: no fiber,crohn's disease,41.6,0.0,54.0
Crohn's Disease,Butter,Avoid,717,0.9,81.1,0.1,0.0,0.0,24.0,"Concerns: high calorie, high fat, no fiber",crohn's disease,0.5,0.1,101.8
Endometriosis,Apple,Consume,52,0.3,0.2,14.0,2.4,4.6,6.0,Benefits: low calorie,endometriosis,2.3,107.7,3.5
Endometriosis,Greek Yogurt,Consume,59,10.2,0.4,3.6,0.0,0.5,111.0,"Benefits: good protein, low calorie, calcium source",endometriosis,69.2,24.4,6.1
Endometriosis,Brown Rice,Consume,112,2.6,0.9,23.5,1.8,0.0,10.0,Benefits: nutritional support,endometriosis,9.3,83.9,7.2
Endometriosis,Apple,Consume,52,0.3,0.2,14.0,2.4,4.6,6.0,Benefits: low calorie,endometriosis,2.3,107.7,3.5
Endometriosis,Lentils,Consume,116,9.0,0.4,20.0,7.9,1.5,19.0,"Benefits: high fiber, good protein",endometriosis,31.0,69.0,3.1
Endometriosis,White Bread,Avoid,265,9.0,3.2,49.0,2.7,0.0,260.0,Concerns: not recommended for this condition,endometriosis,13.6,74.0,10.9
Endometriosis,Alcohol,Avoid,220,0.0,0.0,20.0,0.0,0.0,0.0,Concerns: no fiber,endometriosis,0.0,36.4,0.0
Endometriosis,White Bread,Avoid,265,9.0,3.2,49.0,2.7,0.0,260.0,Concerns: not recommended for this condition,endometriosis,13.6,74.0,10.9
Endometriosis,Pastries,Avoid,406,6.0,21.0,51.0,1.5,0.0,20.0,"Concerns: high calorie, high fat, high refined carbs",endometriosis,5.9,50.2,46.6
Endometriosis,Processed Meat,Avoid,290,14.0,25.0,3.0,0.0,0.0,10.0,"Concerns: high fat, no fiber",endometriosis,19.3,4.1,77.6
PCOS,Oats,Consume,389,16.9,6.9,66.3,10.6,0.0,54.0,"Benefits: high fiber, good protein","pcos, polycystic ovary, hormonal imbalance, women hormones",17.4,68.2,16.0
PCOS,Quinoa,Consume,120,4.4,1.9,21.3,2.8,0.0,17.0,Benefits: nutritional support,"pcos, polycystic ovary, hormonal imbalance, women hormones",14.7,71.0,14.2
PCOS,Walnuts,Consume,654,15.2,65.2,13.7,6.7,1.3,98.0,"Benefits: high fiber, good protein","pcos, polycystic ovary, hormonal imbalance, women hormones",9.3,8.4,89.7
PCOS,Sweet Potato,Consume,86,1.6,0.1,20.1,3.0,2.4,30.0,"Benefits: high fiber, low calorie","pcos, polycystic ovary, hormonal imbalance, women hormones",7.4,93.5,1.0
PCOS,Sweet Potato,Consume,86,1.6,0.1,20.1,3.0,2.4,30.0,"Benefits: high fiber, low calorie","pcos, polycystic ovary, hormonal imbalance, women hormones",7.4,93.5,1.0
PCOS,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat","pcos, polycystic ovary, hormonal imbalance, women hormones",5.0,54.2,41.2
PCOS,White Bread,Avoid,265,9.0,3.2,49.0,2.7,0.0,260.0,Concerns: not recommended for this condition,"pcos, polycystic ovary, hormonal imbalance, women hormones",13.6,74.0,10.9
PCOS,Refined Flour Products,Avoid,364,10.0,1.0,76.0,2.7,0.0,15.0,Concerns: high calorie,"pcos, polycystic ovary, hormonal imbalance, women hormones",11.0,83.5,2.5
PCOS,Refined Flour Products,Avoid,364,10.0,1.0,76.0,2.7,0.0,15.0,Concerns: high calorie,"pcos, polycystic ovary, hormonal imbalance, women hormones",11.0,83.5,2.5
PCOS,Ice Cream,Avoid,207,3.5,11.0,24.0,0.5,0.5,128.0,Concerns: not recommended for this condition,"pcos, polycystic ovary, hormonal imbalance, women hormones",6.8,46.4,47.8
Fibromyalgia,Chia Seeds,Consume,486,16.5,30.7,42.1,34.4,1.6,631.0,"Benefits: high fiber, good protein, calcium source",fibromyalgia,13.6,34.7,56.9
Fibromyalgia,Greek Yogurt,Consume,59,10.2,0.4,3.6,0.0,0.5,111.0,"Benefits: good protein, low calorie, calcium source",fibromyalgia,69.2,24.4,6.1
Fibromyalgia,Almonds,Consume,579,21.2,49.9,21.6,12.5,0.0,264.0,"Benefits: high fiber, good protein, calcium source",fibromyalgia,14.6,14.9,77.6
Fibromyalgia,Oats,Consume,389,16.9,6.9,66.3,10.6,0.0,54.0,"Benefits: high fiber, good protein",fibromyalgia,17.4,68.2,16.0
Fibromyalgia,Oats,Consume,389,16.9,6.9,66.3,10.6,0.0,54.0,"Benefits: high fiber, good protein",fibromyalgia,17.4,68.2,16.0
Fibromyalgia,Red Meat,Avoid,250,26.0,15.0,0.0,0.0,0.0,18.0,Concerns: no fiber,fibromyalgia,41.6,0.0,54.0
Fibromyalgia,Fried Food,Avoid,450,5.0,30.0,40.0,1.0,0.0,10.0,"Concerns: high calorie, high fat",fibromyalgia,4.4,35.6,60.0
Fibromyalgia,Fried Food,Avoid,450,5.0,30.0,40.0,1.0,0.0,10.0,"Concerns: high calorie, high fat",fibromyalgia,4.4,35.6,60.0
Fibromyalgia,Full-fat Cheese,Avoid,402,25.0,33.0,1.3,0.0,0.0,721.0,"Concerns: high calorie, high fat, no fiber",fibromyalgia,24.9,1.3,73.9
Fibromyalgia,White Bread,Avoid,265,9.0,3.2,49.0,2.7,0.0,260.0,Concerns: not recommended for this condition,fibromyalgia,13.6,74.0,10.9
