Condition,Food Item,Recommendation Type,Calories,Protein (g),Fat (g),Carbs (g),Fiber (g),Vitamin C (mg),Calcium (mg),reason,condition_aliases,protein_pct,carb_pct,fat_pct
Glaucoma,Chia Seeds,Consume,486,16.5,30.7,42.1,34.4,1.6,631.0,"Benefits: high fiber, good protein, calcium source",glaucoma,13.6,34.7,56.9
Glaucoma,Spinach,Consume,23,2.9,0.4,3.6,2.2,28.1,99.0,"Benefits: low calorie, rich in vitamin C",glaucoma,50.4,62.6,15.7
Glaucoma,Salmon,Consume,208,20.0,13.0,0.0,0.0,3.0,13.0,Benefits: good protein,glaucoma,38.5,0.0,56.2
Glaucoma,Carrots,Consume,41,0.9,0.2,9.6,2.8,5.9,33.0,Benefits: low calorie,glaucoma,8.8,93.7,4.4
Glaucoma,Brown Rice,Consume,112,2.6,0.9,23.5,1.8,0.0,10.0,Benefits: nutritional support,glaucoma,9.3,83.9,7.2
Glaucoma,Ice Cream,Avoid,207,3.5,11.0,24.0,0.5,0.5,128.0,Concerns: not recommended for this condition,glaucoma,6.8,46.4,47.8
Glaucoma,Soda,Avoid,41,0.0,0.0,10.6,0.0,0.0,0.0,Concerns: no fiber,glaucoma,0.0,103.4,0.0
Glaucoma,Refined Flour Products,Avoid,364,10.0,1.0,76.0,2.7,0.0,15.0,Concerns: high calorie,glaucoma,11.0,83.5,2.5
Glaucoma,Sugary Drinks,Avoid,45,0.0,0.0,11.0,0.0,0.0,0.0,Concerns: no fiber,glaucoma,0.0,97.8,0.0
Glaucoma,Processed Meat,Avoid,290,14.0,25.0,3.0,0.0,0.0,10.0,"Concerns: high fat, no fiber",glaucoma,19.3,4.1,77.6
Cataracts,Greek Yogurt,Consume,59,10.2,0.4,3.6,0.0,0.5,111.0,"Benefits: good protein, low calorie, calcium source",cataracts,69.2,24.4,6.1
Cataracts,Walnuts,Consume,654,15.2,65.2,13.7,6.7,1.3,98.0,"Benefits: high fiber, good protein",cataracts,9.3,8.4,89.7
Cataracts,Carrots,Consume,41,0.9,0.2,9.6,2.8,5.9,33.0,Benefits: low calorie,cataracts,8.8,93.7,4.4
Cataracts,Walnuts,Consume,654,15.2,65.2,13.7,6.7,1.3,98.0,"Benefits: high fiber, good protein",cataracts,9.3,8.4,89.7
Cataracts,Sweet Potato,Consume,86,1.6,0.1,20.1,3.0,2.4,30.0,"Benefits: high fiber, low calorie",cataracts,7.4,93.5,1.0
Cataracts,Full-fat Cheese,Avoid,402,25.0,33.0,1.3,0.0,0.0,721.0,"Concerns: high calorie, high fat, no fiber",cataracts,24.9,1.3,73.9
Cataracts,Full-fat Cheese,Avoid,402,25.0,33.0,1.3,0.0,0.0,721.0,"Concerns: high calorie, high fat, no fiber",cataracts,24.9,1.3,73.9
Cataracts,Soda,Avoid,41,0.0,0.0,10.6,0.0,0.0,0.0,Concerns: no fiber,cataracts,0.0,103.4,0.0
Cataracts,White Bread,Avoid,265,9.0,3.2,49.0,2.7,0.0,260.0,Concerns: not recommended for this condition,cataracts,13.6,74.0,10.9
Cataracts,Refined Flour Products,Avoid,364,10.0,1.0,76.0,2.7,0.0,15.0,Concerns: high calorie,cataracts,11.0,83.5,2.5
Hearing Loss,Quinoa,Consume,120,4.4,1.9,21.3,2.8,0.0,17.0,Benefits: nutritional support,hearing loss,14.7,71.0,14.2
Hearing Loss,Garlic,Consume,149,6.4,0.5,33.1,2.1,31.2,181.0,"Benefits: good protein, rich in vitamin C, calcium source",hearing loss,17.2,88.9,3.0
Hearing Loss,Chia Seeds,Consume,486,16.5,30.7,42.1,34.4,1.6,631.0,"Benefits: high fiber, good protein, calcium source",hearing loss,13.6,34.7,56.9
Hearing Loss,Sweet Potato,Consume,86,1.6,0.1,20.1,3.0,2.4,30.0,"Benefits: high fiber, low calorie",hearing loss,7.4,93.5,1.0
Hearing Loss,Apple,Consume,52,0.3,0.2,14.0,2.4,4.6,6.0,Benefits: low calorie,hearing loss,2.3,107.7,3.5
Hearing Loss,Red Meat,Avoid,250,26.0,15.0,0.0,0.0,0.0,18.0,Concerns: no fiber,hearing loss,41.6,0.0,54.0
Hearing Loss,Butter,Avoid,717,0.9,81.1,0.1,0.0,0.0,24.0,"Concerns: high calorie, high fat, no fiber",hearing loss,0.5,0.1,101.8
Hearing Loss,Refined Flour Products,Avoid,364,10.0,1.0,76.0,2.7,0.0,15.0,Concerns: high calorie,hearing loss,11.0,83.5,2.5
Hearing Loss,Soda,Avoid,41,0.0,0.0,10.6,0.0,0.0,0.0,Concerns: no fiber,hearing loss,0.0,103.4,0.0
Hearing Loss,White Bread,Avoid,265,9.0,3.2,49.0,2.7,0.0,260.0,Concerns: not recommended for this condition,hearing loss,13.6,74.0,10.9
Sleep Apnea,Apple,Consume,52,0.3,0.2,14.0,2.4,4.6,6.0,Benefits: low calorie,sleep apnea,2.3,107.7,3.5
Sleep Apnea,Oats,Consume,389,16.9,6.9,66.3,10.6,0.0,54.0,"Benefits: high fiber, good protein",sleep apnea,17.4,68.2,16.0
Sleep Apnea,Green Tea,Consume,2,0.2,0.0,0.5,0.0,0.0,1.0,Benefits: low calorie,sleep apnea,40.0,100.0,0.0
Sleep Apnea,Salmon,Consume,208,20.0,13.0,0.0,0.0,3.0,13.0,Benefits: good protein,sleep apnea,38.5,0.0,56.2
Sleep Apnea,Beans,Consume,127,8.7,0.5,22.8,6.4,1.2,50.0,"Benefits: high fiber, good protein",sleep apnea,27.4,71.8,3.5
Sleep Apnea,Candy,Avoid,400,0.0,5.0,93.0,0.0,0.0,5.0,"Concerns: high calorie, high refined carbs, no fiber",sleep apnea,0.0,93.0,11.2
Sleep Apnea,Fried Food,Avoid,450,5.0,30.0,40.0,1.0,0.0,10.0,"Concerns: high calorie, high fat",sleep apnea,4.4,35.6,60.0
Sleep Apnea,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat",sleep apnea,5.0,54.2,41.2
Sleep Apnea,Ice Cream,Avoid,207,3.5,11.0,24.0,0.5,0.5,128.0,Concerns: not recommended for this condition,sleep apnea,6.8,46.4,47.8
Sleep Apnea,Alcohol,Avoid,220,0.0,0.0,20.0,0.0,0.0,0.0,Concerns: no fiber,sleep apnea,0.0,36.4,0.0
Skin Cancer,Carrots,Consume,41,0.9,0.2,9.6,2.8,5.9,33.0,Benefits: low calorie,skin cancer,8.8,93.7,4.4
Skin Cancer,Salmon,Consume,208,20.0,13.0,0.0,0.0,3.0,13.0,Benefits: good protein,skin cancer,38.5,0.0,56.2
Skin Cancer,Chia Seeds,Consume,486,16.5,30.7,42.1,34.4,1.6,631.0,"Benefits: high fiber, good protein, calcium source",skin cancer,13.6,34.7,56.9
Skin Cancer,Almonds,Consume,579,21.2,49.9,21.6,12.5,0.0,264.0,"Benefits: high fiber, good protein, calcium source",skin cancer,14.6,14.9,77.6
Skin Cancer,Chia Seeds,Consume,486,16.5,30.7,42.1,34.4,1.6,631.0,"Benefits: high fiber, good protein, calcium source",skin cancer,13.6,34.7,56.9
Skin Cancer,White Bread,Avoid,265,9.0,3.2,49.0,2.7,0.0,260.0,Concerns: not recommended for this condition,skin cancer,13.6,74.0,10.9
Skin Cancer,Soda,Avoid,41,0.0,0.0,10.6,0.0,0.0,0.0,Concerns: no fiber,skin cancer,0.0,103.4,0.0
Skin Cancer,Candy,Avoid,400,0.0,5.0,93.0,0.0,0.0,5.0,"Concerns: high calorie, high refined carbs, no fiber",skin cancer,0.0,93.0,11.2
Skin Cancer,Full-fat Cheese,Avoid,402,25.0,33.0,1.3,0.0,0.0,721.0,"Concerns: high calorie, high fat, no fiber",skin cancer,24.9,1.3,73.9
Skin Cancer,Alcohol,Avoid,220,0.0,0.0,20.0,0.0,0.0,0.0,Concerns: no fiber,skin cancer,0.0,36.4,0.0
Breast Cancer,Walnuts,Consume,654,15.2,65.2,13.7,6.7,1.3,98.0,"Benefits: high fiber, good protein",breast cancer,9.3,8.4,89.7
Breast Cancer,Walnuts,Consume,654,15.2,65.2,13.7,6.7,1.3,98.0,"Benefits: high fiber, good protein",breast cancer,9.3,8.4,89.7
Breast Cancer,Garlic,Consume,149,6.4,0.5,33.1,2.1,31.2,181.0,"Benefits: good protein, rich in vitamin C, calcium source",breast cancer,17.2,88.9,3.0
Breast Cancer,Apple,Consume,52,0.3,0.2,14.0,2.4,4.6,6.0,Benefits: low calorie,breast cancer,2.3,107.7,3.5
Breast Cancer,Blueberries,Consume,57,0.7,0.3,14.5,2.4,9.7,6.0,Benefits: low calorie,breast cancer,4.9,101.8,4.7
Breast Cancer,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat",breast cancer,5.0,54.2,41.2
Breast Cancer,Chips,Avoid,536,7.0,35.0,53.0,5.0,0.0,20.0,"Concerns: high calorie, high fat",breast cancer,5.2,39.6,58.8
Breast Cancer,Candy,Avoid,400,0.0,5.0,93.0,0.0,0.0,5.0,"Concerns: high calorie, high refined carbs, no fiber",breast cancer,0.0,93.0,11.2
Breast Cancer,Processed Meat,Avoid,290,14.0,25.0,3.0,0.0,0.0,10.0,"Concerns: high fat, no fiber",breast cancer,19.3,4.1,77.6
Breast Cancer,Ice Cream,Avoid,207,3.5,11.0,24.0,0.5,0.5,128.0,Concerns: not recommended for this condition,breast cancer,6.8,46.4,47.8
Prostate Cancer,Chia Seeds,Consume,486,16.5,30.7,42.1,34.4,1.6,631.0,"Benefits: high fiber, good protein, calcium source",prostate cancer,13.6,34.7,56.9
Prostate Cancer,Almonds,Consume,579,21.2,49.9,21.6,12.5,0.0,264.0,"Benefits: high fiber, good protein, calcium source",prostate cancer,14.6,14.9,77.6
Prostate Cancer,Salmon,Consume,208,20.0,13.0,0.0,0.0,3.0,13.0,Benefits: good protein,prostate cancer,38.5,0.0,56.2
Prostate Cancer,Oats,Consume,389,16.9,6.9,66.3,10.6,0.0,54.0,"Benefits: high fiber, good protein",prostate cancer,17.4,68.2,16.0
Prostate Cancer,Apple,Consume,52,0.3,0.2,14.0,2.4,4.6,6.0,Benefits: low calorie,prostate cancer,2.3,107.7,3.5
Prostate Cancer,Ice Cream,Avoid,207,3.5,11.0,24.0,0.5,0.5,128.0,Concerns: not recommended for this condition,prostate cancer,6.8,46.4,47.8
Prostate Cancer,Red Meat,Avoid,250,26.0,15.0,0.0,0.0,0.0,18.0,Concerns: no fiber,prostate cancer,41.6,0.0,54.0
Prostate Cancer,Pastries,Avoid,406,6.0,21.0,51.0,1.5,0.0,20.0,"Concerns: high calorie, high fat, high refined carbs",prostate cancer,5.9,50.2,46.6
Prostate Cancer,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat",prostate cancer,5.0,54.2,41.2
Prostate Cancer,White Bread,Avoid,265,9.0,3.2,49.0,2.7,0.0,260.0,Concerns: not recommended for this condition,prostate cancer,13.6,74.0,10.9
Lung Cancer,Garlic,Consume,149,6.4,0.5,33.1,2.1,31.2,181.0,"Benefits: good protein, rich in vitamin C, calcium source",lung cancer,17.2,88.9,3.0
Lung Cancer,Apple,Consume,52,0.3,0.2,14.0,2.4,4.6,6.0,Benefits: low calorie,lung cancer,2.3,107.7,3.5
Lung Cancer,Brown Rice,Consume,112,2.6,0.9,23.5,1.8,0.0,10.0,Benefits: nutritional support,lung cancer,9.3,83.9,7.2
Lung Cancer,Quinoa,Consume,120,4.4,1.9,21.3,2.8,0.0,17.0,Benefits: nutritional support,lung cancer,14.7,71.0,14.2
Lung Cancer,Garlic,Consume,149,6.4,0.5,33.1,2.1,31.2,181.0,"Benefits: good protein, rich in vitamin C, calcium source",lung cancer,17.2,88.9,3.0
Lung Cancer,White Bread,Avoid,265,9.0,3.2,49.0,2.7,0.0,260.0,Concerns: not recommended for this condition,lung cancer,13.6,74.0,10.9
Lung Cancer,Soda,Avoid,41,0.0,0.0,10.6,0.0,0.0,0.0,Concerns: no fiber,lung cancer,0.0,103.4,0.0
Lung Cancer,Candy,Avoid,400,0.0,5.0,93.0,0.0,0.0,5.0,"Concerns: high calorie, high refined carbs, no fiber",lung cancer,0.0,93.0,11.2
Lung Cancer,Alcohol,Avoid,220,0.0,0.0,20.0,0.0,0.0,0.0,Concerns: no fiber,lung cancer,0.0,36.4,0.0
Lung Cancer,Pastries,Avoid,406,6.0,21.0,51.0,1.5,0.0,20.0,"Concerns: high calorie, high fat, high refined carbs",lung cancer,5.9,50.2,46.6
Leukemia,Chia Seeds,Consume,486,16.5,30.7,42.1,34.4,1.6,631.0,"Benefits: high fiber, good protein, calcium source",leukemia,13.6,34.7,56.9
Leukemia,Blueberries,Consume,57,0.7,0.3,14.5,2.4,9.7,6.0,Benefits: low calorie,leukemia,4.9,101.8,4.7
Leukemia,Tomatoes,Consume,18,0.9,0.2,3.9,1.2,14.0,10.0,"Benefits: low calorie, rich in vitamin C",leukemia,20.0,86.7,10.0
Leukemia,Carrots,Consume,41,0.9,0.2,9.6,2.8,5.9,33.0,Benefits: low calorie,leukemia,8.8,93.7,4.4
Leukemia,Brown Rice,Consume,112,2.6,0.9,23.5,1.8,0.0,10.0,Benefits: nutritional support,leukemia,9.3,83.9,7.2
Leukemia,White Bread,Avoid,265,9.0,3.2,49.0,2.7,0.0,260.0,Concerns: not recommended for this condition,leukemia,13.6,74.0,10.9
Leukemia,Full-fat Cheese,Avoid,402,25.0,33.0,1.3,0.0,0.0,721.0,"Concerns: high calorie, high fat, no fiber",leukemia,24.9,1.3,73.9
Leukemia,Full-fat Cheese,Avoid,402,25.0,33.0,1.3,0.0,0.0,721.0,"Concerns: high calorie, high fat, no fiber",leukemia,24.9,1.3,73.9
Leukemia,Full-fat Cheese,Avoid,402,25.0,33.0,1.3,0.0,0.0,721.0,"Concerns: high calorie, high fat, no fiber",leukemia,24.9,1.3,73.9
Leukemia,Full-fat Cheese,Avoid,402,25.0,33.0,1.3,0.0,0.0,721.0,"Concerns: high calorie, high fat, no fiber",leukemia,24.9,1.3,73.9
Lymphoma,Walnuts,Consume,654,15.2,65.2,13.7,6.7,1.3,98.0,"Benefits: high fiber, good protein",lymphoma,9.3,8.4,89.7
Lymphoma,Quinoa,Consume,120,4.4,1.9,21.3,2.8,0.0,17.0,Benefits: nutritional support,lymphoma,14.7,71.0,14.2
Lymphoma,Tomatoes,Consume,18,0.9,0.2,3.9,1.2,14.0,10.0,"Benefits: low calorie, rich in vitamin C",lymphoma,20.0,86.7,10.0
Lymphoma,Carrots,Consume,41,0.9,0.2,9.6,2.8,5.9,33.0,Benefits: low calorie,lymphoma,8.8,93.7,4.4
Lymphoma,Sweet Potato,Consume,86,1.6,0.1,20.1,3.0,2.4,30.0,"Benefits: high fiber, low calorie",lymphoma,7.4,93.5,1.0
Lymphoma,Full-fat Cheese,Avoid,402,25.0,33.0,1.3,0.0,0.0,721.0,"Concerns: high calorie, high fat, no fiber",lymphoma,24.9,1.3,73.9
Lymphoma,Sugary Drinks,Avoid,45,0.0,0.0,11.0,0.0,0.0,0.0,Concerns: no fiber,lymphoma,0.0,97.8,0.0
Lymphoma,Processed Meat,Avoid,290,14.0,25.0,3.0,0.0,0.0,10.0,"Concerns: high fat, no fiber",lymphoma,19.3,4.1,77.6
Lymphoma,Sugary Drinks,Avoid,45,0.0,0.0,11.0,0.0,0.0,0.0,Concerns: no fiber,lymphoma,0.0,97.8,0.0
Lymphoma,Butter,Avoid,717,0.9,81.1,0.1,0.0,0.0,24.0,"Concerns: high calorie, high fat, no fiber",lymphoma,0.5,0.1,101.8
Pancreatic Cancer,Green Tea,Consume,2,0.2,0.0,0.5,0.0,0.0,1.0,Benefits: low calorie,pancreatic cancer,40.0,100.0,0.0
Pancreatic Cancer,Blueberries,Consume,57,0.7,0.3,14.5,2.4,9.7,6.0,Benefits: low calorie,pancreatic cancer,4.9,101.8,4.7
Pancreatic Cancer,Apple,Consume,52,0.3,0.2,14.0,2.4,4.6,6.0,Benefits: low calorie,pancreatic cancer,2.3,107.7,3.5
Pancreatic Cancer,Blueberries,Consume,57,0.7,0.3,14.5,2.4,9.7,6.0,Benefits: low calorie,pancreatic cancer,4.9,101.8,4.7
Pancreatic Cancer,Garlic,Consume,149,6.4,0.5,33.1,2.1,31.2,181.0,"Benefits: good protein, rich in vitamin C, calcium source",pancreatic cancer,17.2,88.9,3.0
Pancreatic Cancer,Processed Meat,Avoid,290,14.0,25.0,3.0,0.0,0.0,10.0,"Concerns: high fat, no fiber",pancreatic cancer,19.3,4.1,77.6
Pancreatic Cancer,Soda,Avoid,41,0.0,0.0,10.6,0.0,0.0,0.0,Concerns: no fiber,pancreatic cancer,0.0,103.4,0.0
Pancreatic Cancer,Processed Meat,Avoid,290,14.0,25.0,3.0,0.0,0.0,10.0,"Concerns: high fat, no fiber",pancreatic cancer,19.3,4.1,77.6
Pancreatic Cancer,Red Meat,Avoid,250,26.0,15.0,0.0,0.0,0.0,18.0,Concerns: no fiber,pancreatic cancer,41.6,0.0,54.0
Pancreatic Cancer,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat",pancreatic cancer,5.0,54.2,41.2
Kidney Stones,Blueberries,Consume,57,0.7,0.3,14.5,2.4,9.7,6.0,Benefits: low calorie,"kidney stones, renal stones, nephrolithiasis",4.9,101.8,4.7
Kidney Stones,Green Tea,Consume,2,0.2,0.0,0.5,0.0,0.0,1.0,Benefits: low calorie,"kidney stones, renal stones, nephrolithiasis",40.0,100.0,0.0
Kidney Stones,Tomatoes,Consume,18,0.9,0.2,3.9,1.2,14.0,10.0,"Benefits: low calorie, rich in vitamin C","kidney stones, renal stones, nephrolithiasis",20.0,86.7,10.0
Kidney Stones,Spinach,Consume,23,2.9,0.4,3.6,2.2,28.1,99.0,"Benefits: low calorie, rich in vitamin C","kidney stones, renal stones, nephrolithiasis",50.4,62.6,15.7
Kidney Stones,Broccoli,Consume,34,2.8,0.4,7.0,2.6,89.2,47.0,"Benefits: low calorie, rich in vitamin C","kidney stones, renal stones, nephrolithiasis",32.9,82.4,10.6
Kidney Stones,Butter,Avoid,717,0.9,81.1,0.1,0.0,0.0,24.0,"Concerns: high calorie, high fat, no fiber","kidney stones, renal stones, nephrolithiasis",0.5,0.1,101.8
Kidney Stones,Chips,Avoid,536,7.0,35.0,53.0,5.0,0.0,20.0,"Concerns: high calorie, high fat","kidney stones, renal stones, nephrolithiasis",5.2,39.6,58.8
Kidney Stones,Pastries,Avoid,406,6.0,21.0,51.0,1.5,0.0,20.0,"Concerns: high calorie, high fat, high refined carbs","kidney stones, renal stones, nephrolithiasis",5.9,50.2,46.6
Kidney Stones,Pastries,Avoid,406,6.0,21.0,51.0,1.5,0.0,20.0,"Concerns: high calorie, high fat, high refined carbs","kidney stones, renal stones, nephrolithiasis",5.9,50.2,46.6
Kidney Stones,Ice Cream,Avoid,207,3.5,11.0,24.0,0.5,0.5,128.0,Concerns: not recommended for this condition,"kidney stones, renal stones, nephrolithiasis",6.8,46.4,47.8
Gallstones,Greek Yogurt,Consume,59,10.2,0.4,3.6,0.0,0.5,111.0,"Benefits: good protein, low calorie, calcium source",gallstones,69.2,24.4,6.1
Gallstones,Sweet Potato,Consume,86,1.6,0.1,20.1,3.0,2.4,30.0,"Benefits: high fiber, low calorie",gallstones,7.4,93.5,1.0
Gallstones,Brown Rice,Consume,112,2.6,0.9,23.5,1.8,0.0,10.0,Benefits: nutritional support,gallstones,9.3,83.9,7.2
Gallstones,Chia Seeds,Consume,486,16.5,30.7,42.1,34.4,1.6,631.0,"Benefits: high fiber, good protein, calcium source",gallstones,13.6,34.7,56.9
Gallstones,Almonds,Consume,579,21.2,49.9,21.6,12.5,0.0,264.0,"Benefits: high fiber, good protein, calcium source",gallstones,14.6,14.9,77.6
Gallstones,Fried Food,Avoid,450,5.0,30.0,40.0,1.0,0.0,10.0,"Concerns: high calorie, high fat",gallstones,4.4,35.6,60.0
Gallstones,Ice Cream,Avoid,207,3.5,11.0,24.0,0.5,0.5,128.0,Concerns: not recommended for this condition,gallstones,6.8,46.4,47.8
Gallstones,Processed Meat,Avoid,290,14.0,25.0,3.0,0.0,0.0,10.0,"Concerns: high fat, no fiber",gallstones,19.3,4.1,77.6
Gallstones,Sugary Drinks,Avoid,45,0.0,0.0,11.0,0.0,0.0,0.0,Concerns: no fiber,gallstones,0.0,97.8,0.0
Gallstones,Full-fat Cheese,Avoid,402,25.0,33.0,1.3,0.0,0.0,721.0,"Concerns: high calorie, high fat, no fiber",gallstones,24.9,1.3,73.9
